run_time,subject,experiment_id,predictor,estimator,raw,epoch,reference,inv,tstart,tstop,samplingrate,filter_x,status,error_type,error,traceback,tracking_r_mean,tracking_r_median,tracking_r_max,tracking_r_min,tracking_r_sd,positive_channel_count,positive_channel_fraction,best_channel,minimum_channel,n_result_channels,contains_veog,n_model_terms,h_shape,finite_r,finite_h,finite_result,result_summary,proportion_explained_mean,cache_path,audio_alignment_qc,include_trf_primary,trf_exclusion_reason,correct,total,score_prop,low_score_flag,high_noise_flag,four_question_subject,s39_flag,exclude_high_noise,notes,include_prediction_primary,include_sensitivity
2026-08-26T22:43:39,sub-21,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.029982939072379613,0.028156100656563116,0.06933163133685283,-0.004244181134059576,0.02016632885842918,57,0.9344262295081968,20,55,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0011195137923579225,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-21/subject-21_raw-0.5-20_epoch-story-segments_reference-mastoids_key-db72f819a0dc245a.pickle,pass,True,,,,,False,False,False,False,False,use,False,False
2026-08-26T22:43:45,sub-22,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.004962782574325588,0.004413604374834965,0.06835268634689379,-0.04417214256989827,0.02525304302164815,38,0.6229508196721312,49,18,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",8.510910223943219e-05,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-22/subject-22_raw-0.5-20_epoch-story-segments_reference-mastoids_key-9c1201b80591fd76.pickle,pass,True,,6.0,8.0,0.75,False,False,False,False,True,use,True,True
2026-08-26T22:43:49,sub-23,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.017619391103037813,0.016941126182066765,0.08124676291415255,-0.018789484601635764,0.017359256629637786,52,0.8524590163934426,32,55,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0001294947080174803,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-23/subject-23_raw-0.5-20_epoch-story-segments_reference-mastoids_key-b8356e3c66f9d94f.pickle,pass,True,,3.0,8.0,0.375,True,False,False,False,True,exclude: low score,True,True
2026-08-26T22:43:53,sub-24,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.012144840539746902,0.01621099711456353,0.056707388439346675,-0.042953428094366954,0.026859021399943558,43,0.7049180327868853,11,31,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.00019752673549729673,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-24/subject-24_raw-0.5-20_epoch-story-segments_reference-mastoids_key-92abf76fd213cdff.pickle,pass,True,,4.0,8.0,0.5,True,False,False,False,True,exclude: low score,True,True
2026-08-26T22:43:57,sub-25,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.02864866062680613,0.02961028914772917,0.06440617106687635,-0.02841215507095515,0.02181730406518414,54,0.8852459016393442,9,23,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0006302135620609311,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-25/subject-25_raw-0.5-20_epoch-story-segments_reference-mastoids_key-0c6eecb88d5ce48b.pickle,pass,True,,5.0,8.0,0.625,False,False,False,False,True,use,True,True
2026-08-26T22:44:01,sub-26,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.02661060650952044,0.029855389604720454,0.06569720343576241,-0.02530029772427647,0.021564917123855276,54,0.8852459016393442,9,53,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0011532548270875075,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-26/subject-26_raw-0.5-20_epoch-story-segments_reference-mastoids_key-9b41af200b05e105.pickle,pass,True,,6.0,8.0,0.75,False,False,False,False,True,use,True,True
2026-08-26T22:44:07,sub-27,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.03555408020284216,0.03871915758998508,0.06766625317104752,-0.015264532679638312,0.022183151450505974,55,0.9016393442622951,44,54,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0007795758226022391,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-27/subject-27_raw-0.5-20_epoch-story-segments_reference-mastoids_key-7383d7bc82c90b18.pickle,pass,True,,4.0,8.0,0.5,True,False,False,False,True,exclude: low score,True,True
2026-08-26T22:44:12,sub-28,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.054454507023048125,0.06475167671074249,0.1061841595376286,-0.029633026195096678,0.034865120951022344,56,0.9180327868852459,36,55,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0020445608955088042,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-28/subject-28_raw-0.5-20_epoch-story-segments_reference-mastoids_key-5c3895368546fb53.pickle,pass,True,,7.0,8.0,0.875,False,True,False,False,False,exclude: noise,True,False
2026-08-26T22:44:18,sub-29,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.004228567501121457,0.004463942603072868,0.0433986093376864,-0.04910848961773501,0.018490438736336726,35,0.5737704918032787,39,52,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",-3.01682834885958e-05,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-29/subject-29_raw-0.5-20_epoch-story-segments_reference-mastoids_key-9528f0dc72072394.pickle,pass,True,,6.0,8.0,0.75,False,True,False,False,False,exclude: noise,True,False
2026-08-26T22:44:22,sub-30,gammatone-1-plus-gammatone-on-1,gammatone-1 + gammatone-on-1,boosting,0.5-20,story-segments,mastoids,,-0.1,1.0,50,continuous,ok,,,,0.011032818446184698,0.014557327203013969,0.03507717901478429,-0.0342132952684529,0.013977769824015922,47,0.7704918032786885,24,26,61,False,2,"[(61, 56), (61, 56)]",True,True,True,"<BoostingResult eeg ~ gammatone-1 + gammatone-on-1, -0.1 - 1, error=l1, basis=0.05, partitions=5, test=1, selective_stopping=1>",0.0002621238765654398,/Users/yanyuwoo/Data/bids/derivatives/eelbrain/cache/trf/sub-30/subject-30_raw-0.5-20_epoch-story-segments_reference-mastoids_key-0f70814cfafaf219.pickle,pass,True,,4.0,8.0,0.5,True,False,False,False,True,exclude: low score,True,True
